デンプン粒の種類,粒径範囲
松尾大社_イネ,13.34
松尾大社_イネ,9.8
松尾大社_イネ,9.03
松尾大社_イネ,6.58
松尾大社_イネ,6.6
松尾大社_イネ,9.8
松尾大社_イネ,3.1
松尾大社_イネ,5
松尾大社_イネ,4.47
松尾大社_イネ,8.06
松尾大社_イネ,9.98
松尾大社_イネ,6.57
松尾大社_イネ,6.71
松尾大社_イネ,4.99
松尾大社_イネ,7.9
松尾大社_イネ,6.57
松尾大社_イネ,10
松尾大社_イネ,7.05
松尾大社_イネ,6.58
松尾大社_イネ,6.57
松尾大社_イネ,8.38
松尾大社_イネ,9.86
松尾大社_イネ,6.58
松尾大社_イネ,6.6
松尾大社_イネ,9.8
松尾大社_イネ,3.1
松尾大社_イネ,5
松尾大社_イネ,4.47
松尾大社_イネ,8.06
松尾大社_イネ,9.98
松尾大社_イネ,6.57
松尾大社_イネ,6.71
松尾大社_イネ,4.99
松尾大社_イネ,6.58
松尾大社_イネ,8.76
松尾大社_イネ,6.58
松尾大社_イネ,8.76
松尾大社_イネ,6.58
松尾大社_イネ,6.78
松尾大社_イネ,5
松尾大社_イネ,4.47
松尾大社_イネ,8.9
松尾大社_イネ,5
松尾大社_イネ,6.58
松尾大社_イネ,6.78
松尾大社_イネ,5
松尾大社_イネ,4.47
松尾大社_イネ,8.9
松尾大社_イネ,5
松尾大社_イネ,6.7
松尾大社_イネ,8.77
松尾大社_イネ,6.68
松尾大社_トロロアオイ,19.09
松尾大社_トロロアオイ,13.025
松尾大社_トロロアオイ,11.14
松尾大社_トロロアオイ,10
松尾大社_トロロアオイ,22.01
松尾大社_トロロアオイ,27.19
松尾大社_トロロアオイ,9.21
松尾大社_トロロアオイ,17.992
松尾大社_トロロアオイ,16.11
松尾大社_トロロアオイ,27.19
松尾大社_トロロアオイ,9.21
松尾大社_トロロアオイ,16.11
松尾大社_トロロアオイ,22.57
松尾大社_トロロアオイ,26.9
松尾大社_トロロアオイ,18
松尾大社_トロロアオイ,13.03
松尾大社_トロロアオイ,18.02
松尾大社_トロロアオイ,15.8
松尾大社_トロロアオイ,17.96
松尾大社_トロロアオイ,10
松尾大社_トロロアオイ,29.05
松尾大社_トロロアオイ,22.35
松尾大社_トロロアオイ,13.4
松尾大社_トロロアオイ,20.59
松尾大社_トロロアオイ,21.99
松尾大社_トロロアオイ,25
松尾大社_トロロアオイ,10
松尾大社_トロロアオイ,19.09
松尾大社_トロロアオイ,9.99
松尾大社_トロロアオイ,17.02
松尾大社_種不明,18.02
松尾大社_種不明,17.99
松尾大社_種不明,13.59
松尾大社_種不明,17
松尾大社_種不明,16.12
松尾大社_種不明,14.3
松尾大社_種不明,15.64
松尾大社_種不明,20.24
松尾大社_種不明,13.59
松尾大社_種不明,32.22
松尾大社_種不明,36.84
松尾大社_種不明,13
松尾大社_種不明,25.47
松尾大社_種不明,21.1
松尾大社_種不明,15.8
松尾大社_種不明,18
松尾大社_種不明,31.92
松尾大社_種不明,17.88
松尾大社_種不明,15.35
松尾大社_種不明,14.04
松尾大社_種不明,14.71
松尾大社_種不明,15.95
松尾大社_種不明,14.31
松尾大社_種不明,18.09
松尾大社_種不明,17.94
松尾大社_種不明,24.59
松尾大社_種不明,19.98
松尾大社_種不明,16.12
松尾大社_種不明,9.21
松尾大社_種不明,40.76
松尾大社_種不明,26.99
松尾大社_種不明,19.1
松尾大社_種不明,17.01
松尾大社_種不明,17.87
松尾大社_種不明,17.84
松尾大社_種不明,9.21
松尾大社_種不明,15.6
松尾大社_種不明,33.74
松尾大社_種不明,15.8
松尾大社_種不明,17.68
松尾大社_種不明,24.23
松尾大社_種不明,19.86
松尾大社_種不明,27.13
松尾大社_種不明,19.59
松尾大社_種不明,25.48
松尾大社_種不明,17.87
松尾大社_種不明,11.17
松尾大社_種不明,15.78
松尾大社_種不明,14.31
松尾大社_種不明,17.66
松尾大社_種不明,18.02
松尾大社_種不明,17.99
松尾大社_種不明,13.59
松尾大社_種不明,18.02
松尾大社_種不明,17.99
松尾大社_種不明,13.59
松尾大社_種不明,17
松尾大社_種不明,16.12
松尾大社_種不明,14.3
松尾大社_種不明,17
松尾大社_種不明,16.12
松尾大社_種不明,14.3
松尾大社_種不明,15.64
松尾大社_種不明,20.24
松尾大社_種不明,13.59
松尾大社_種不明,32.22
松尾大社_種不明,36.84
松尾大社_種不明,13
松尾大社_種不明,25.47
松尾大社_種不明,21.1
松尾大社_種不明,15.8
松尾大社_種不明,18
松尾大社_種不明,31.92
松尾大社_種不明,17.88
松尾大社_種不明,15.35
松尾大社_種不明,14.04
松尾大社_種不明,14.71
松尾大社_種不明,15.95
松尾大社_種不明,14.31
松尾大社_種不明,18.09
松尾大社_種不明,17.94
松尾大社_種不明,24.59
松尾大社_種不明,19.98
松尾大社_種不明,16.12
松尾大社_種不明,9.21
松尾大社_種不明,40.76
松尾大社_種不明,26.99
松尾大社_種不明,19.1
松尾大社_種不明,17.01
松尾大社_種不明,17.87
松尾大社_種不明,17.84
松尾大社_種不明,9.21
松尾大社_種不明,15.6
松尾大社_種不明,33.74
松尾大社_種不明,15.8
松尾大社_種不明,17.68
松尾大社_種不明,24.23
松尾大社_種不明,19.86
松尾大社_種不明,27.13
松尾大社_種不明,19.59
松尾大社_種不明,25.48
松尾大社_種不明,17.87
松尾大社_種不明,11.17
松尾大社_種不明,15.78
松尾大社_種不明,14.31
松尾大社_種不明,17.66
